Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR
23/09/21,18:30,Osasuna,Betis,1,3,A,1,1,D,11,16,3,9,18,10,4,7,2,0,0
23/09/21,21:00,Cadiz,Barcelona,0,0,D,0,0,D,13,6,3,2,16,8,4,5,3,4,0
25/09/21,13:00,Alaves,Ath Madrid,1,0,H,1,0,H,7,13,1,1,18,11,3,8,2,3,0
25/09/21,15:15,Valencia,Ath Bilbao,1,1,D,0,0,D,13,12,6,4,14,17,4,5,5,2,1
25/09/21,17:30,Sevilla,Espanol,2,0,H,1,0,H,12,13,5,2,10,8,4,8,4,0,1
25/09/21,20:00,Real Madrid,Villarreal,0,0,D,0,0,D,15,6,2,2,10,12,6,3,1,2,0
26/09/21,13:00,Mallorca,Osasuna,2,3,A,2,1,H,17,12,8,6,8,17,5,5,2,3,0
26/09/21,15:15,Barcelona,Levante,3,0,H,2,0,H,20,6,12,2,11,16,11,1,1,3,0
26/09/21,17:30,Sociedad,Elche,1,0,H,0,0,D,17,5,5,2,12,16,6,1,1,3,0
26/09/21,17:30,Vallecano,Cadiz,3,1,H,2,1,H,13,6,6,1,11,11,4,3,2,4,0
26/09/21,20:00,Betis,Getafe,2,0,H,1,0,H,20,8,5,3,12,19,3,3,1,3,0
27/09/21,20:00,Celta,Granada,1,0,H,0,0,D,14,7,5,4,9,12,5,3,2,7,0
01/10/21,20:00,Ath Bilbao,Alaves,1,0,H,1,0,H,16,17,5,5,16,12,13,9,3,2,0
02/10/21,13:00,Osasuna,Vallecano,1,0,H,0,0,D,7,7,3,0,19,9,6,3,3,3,0
02/10/21,15:15,Mallorca,Levante,1,0,H,0,0,D,9,6,7,2,18,25,8,3,4,4,0
02/10/21,17:30,Cadiz,Valencia,0,0,D,0,0,D,2,16,1,4,16,11,1,3,3,4,0
02/10/21,20:00,Ath Madrid,Barcelona,2,0,H,2,0,H,6,9,3,2,13,10,2,6,2,1,0
03/10/21,13:00,Elche,Celta,1,0,H,0,0,D,12,10,5,1,14,19,7,4,4,3,0
03/10/21,15:15,Espanol,Real Madrid,2,1,H,1,0,H,8,18,4,4,12,13,2,8,2,1,0
03/10/21,17:30,Getafe,Sociedad,1,1,D,1,0,H,9,10,2,5,16,11,2,5,4,2,0
03/10/21,17:30,Villarreal,Betis,2,0,H,1,0,H,11,10,5,3,14,9,4,6,2,4,0
03/10/21,20:00,Granada,Sevilla,1,0,H,1,0,H,3,14,1,3,13,11,2,6,3,4,0
16/10/21,17:30,Levante,Getafe,0,0,D,0,0,D,6,14,2,4,14,10,3,11,3,3,0
16/10/21,20:00,Sociedad,Mallorca,1,0,H,0,0,D,10,7,2,1,11,21,2,6,3,3,1
17/10/21,13:00,Vallecano,Elche,2,1,H,1,1,D,10,7,4,3,16,11,6,2,2,2,0
17/10/21,15:15,Celta,Sevilla,0,1,A,0,0,D,14,8,3,2,13,9,5,4,2,3,0
17/10/21,17:30,Villarreal,Osasuna,1,2,A,0,1,A,11,6,6,2,6,14,4,4,1,5,0
17/10/21,20:00,Barcelona,Valencia,3,1,H,2,1,H,12,9,5,3,16,13,9,3,2,3,0
18/10/21,18:00,Alaves,Betis,0,1,A,0,0,D,14,19,2,4,8,11,7,7,1,1,0
18/10/21,20:00,Espanol,Cadiz,2,0,H,1,0,H,14,13,6,2,8,10,7,9,1,0,0
