Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR
29/08/21,14:00,Strasbourg,Brest,3,1,H,2,1,H,11,11,5,5,12,10,1,9,1,1,0
29/08/21,16:00,Lille,Montpellier,2,1,H,1,1,D,15,6,4,3,15,19,3,4,3,7,0
29/08/21,19:45,Reims,Paris SG,0,2,A,0,1,A,11,12,4,3,13,13,3,3,1,3,0
10/09/21,20:00,Lorient,Lille,2,1,H,1,1,D,14,9,7,3,13,11,2,5,2,2,0
11/09/21,16:00,Paris SG,Clermont,4,0,H,2,0,H,13,14,7,2,13,9,4,4,0,1,0
11/09/21,20:00,Monaco,Marseille,0,2,A,0,1,A,7,13,0,5,17,8,3,2,4,1,0
12/09/21,12:00,Montpellier,St Etienne,2,0,H,1,0,H,11,14,4,2,15,17,7,6,1,4,0
12/09/21,14:00,Bordeaux,Lens,2,3,A,0,2,A,11,12,3,5,8,11,2,7,3,2,0
12/09/21,14:00,Brest,Angers,1,1,D,0,0,D,12,8,6,2,19,9,5,3,3,2,1
12/09/21,14:00,Metz,Troyes,0,2,A,0,0,D,16,10,2,5,15,14,2,1,2,1,0
12/09/21,14:00,Rennes,Reims,0,2,A,0,1,A,9,7,1,3,18,11,4,6,1,2,0
12/09/21,16:00,Nantes,Nice,0,2,A,0,0,D,19,9,7,3,7,13,8,3,2,3,0
12/09/21,19:45,Lyon,Strasbourg,3,1,H,1,0,H,14,12,7,4,8,11,4,6,2,1,0
17/09/21,20:00,Strasbourg,Metz,3,0,H,3,0,H,10,15,6,5,16,8,3,7,2,4,0
18/09/21,16:00,Lens,Lille,1,0,H,0,0,D,13,6,4,2,12,8,4,3,2,2,0
18/09/21,20:00,St Etienne,Bordeaux,1,2,A,0,1,A,12,13,5,3,9,11,7,2,1,4,0
19/09/21,12:00,Nice,Monaco,2,2,D,0,1,A,12,8,3,3,17,12,5,2,2,3,0
19/09/21,14:00,Angers,Nantes,1,4,A,1,3,A,10,8,5,4,10,16,10,5,2,2,0
19/09/21,14:00,Clermont,Brest,1,1,D,0,0,D,7,5,4,1,7,19,3,5,1,1,1
19/09/21,14:00,Reims,Lorient,0,0,D,0,0,D,10,6,2,3,12,14,5,6,2,3,0
19/09/21,14:00,Troyes,Montpellier,1,1,D,1,0,H,8,6,3,2,16,11,1,6,4,4,0
19/09/21,16:00,Marseille,Rennes,2,0,H,0,0,D,17,13,6,2,5,17,6,7,0,2,0
19/09/21,19:45,Paris SG,Lyon,2,1,H,0,0,D,14,12,5,5,13,19,10,4,3,1,0
22/09/21,18:00,Lille,Reims,2,1,H,2,0,H,7,11,4,5,16,14,4,4,2,1,0
22/09/21,18:00,Monaco,St Etienne,3,1,H,1,1,D,14,9,6,3,16,13,6,3,1,1,0
22/09/21,18:00,Montpellier,Bordeaux,3,3,D,1,2,A,15,15,6,7,10,8,6,6,0,2,0
22/09/21,18:00,Nantes,Brest,3,1,H,1,0,H,14,10,6,2,8,13,4,4,1,2,0
22/09/21,18:00,Rennes,Clermont,6,0,H,2,0,H,21,4,10,1,14,5,5,7,2,1,0
22/09/21,20:00,Angers,Marseille,0,0,D,0,0,D,9,6,1,1,9,7,4,2,1,3,0
22/09/21,20:00,Lens,Strasbourg,0,1,A,0,0,D,17,6,4,1,14,7,7,3,2,3,1
22/09/21,20:00,Lorient,Nice,1,0,H,1,0,H,8,13,1,1,12,16,6,5,2,4,1
22/09/21,20:00,Lyon,Troyes,3,1,H,0,1,A,15,12,8,7,7,9,7,3,1,3,0
22/09/21,20:00,Metz,Paris SG,1,2,A,1,1,D,6,15,2,5,12,12,3,3,6,2,1
25/09/21,16:00,St Etienne,Nice,0,3,A,0,1,A,11,14,6,9,9,13,2,9,0,2,0
25/09/21,18:00,Strasbourg,Lille,1,2,A,0,1,A,10,16,3,7,16,12,8,8,4,4,1
25/09/21,20:00,Lyon,Lorient,1,1,D,0,1,A,12,12,2,5,9,10,9,3,1,2,1
25/09/21,20:00,Paris SG,Montpellier,2,0,H,1,0,H,16,10,5,4,10,8,8,7,0,1,0
26/09/21,12:00,Bordeaux,Rennes,1,1,D,0,0,D,10,18,3,8,6,20,8,6,1,4,0
26/09/21,14:00,Brest,Metz,1,2,A,0,1,A,11,6,2,4,16,16,4,3,3,2,0
26/09/21,14:00,Reims,Nantes,3,1,H,0,0,D,9,11,5,2,14,10,3,7,1,1,0
26/09/21,14:00,Troyes,Angers,1,1,D,1,0,H,6,17,3,6,9,8,2,9,4,2,1
26/09/21,16:00,Clermont,Monaco,1,3,A,1,1,D,12,6,4,3,9,12,5,1,2,4,0
26/09/21,19:45,Marseille,Lens,2,3,A,2,2,D,14,14,4,5,4,14,5,7,2,1,0
01/10/21,20:00,Lens,Reims,2,0,H,1,0,H,13,3,7,0,13,13,5,3,3,1,0
02/10/21,16:00,Montpellier,Strasbourg,1,1,D,1,1,D,12,6,4,3,12,14,3,4,2,0,0
02/10/21,20:00,Nice,Brest,2,1,H,1,0,H,20,6,9,2,8,12,6,2,1,1,0
03/10/21,12:00,Rennes,Paris SG,2,0,H,1,0,H,12,13,4,0,9,4,4,4,2,3,0
03/10/21,14:00,Angers,Metz,3,2,H,0,1,A,18,2,5,2,16,11,12,2,1,3,0
03/10/21,14:00,Lorient,Clermont,1,1,D,0,1,A,6,8,1,4,19,12,4,4,2,1,0
