Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR
26/09/21,14:00,Sassuolo,Salernitana,1,0,H,0,0,D,17,12,6,5,16,16,4,8,3,3,0
26/09/21,14:00,Udinese,Fiorentina,0,1,A,0,1,A,12,8,5,2,14,11,4,1,2,3,0
26/09/21,17:00,Lazio,Roma,3,2,H,2,1,H,9,20,4,8,11,13,1,9,2,4,0
26/09/21,19:45,Napoli,Cagliari,2,0,H,1,0,H,18,6,7,1,12,10,6,4,2,1,0
27/09/21,19:45,Venezia,Torino,1,1,D,0,0,D,8,8,2,3,9,18,4,1,1,4,0
01/10/21,19:45,Cagliari,Venezia,1,1,D,1,0,H,9,10,3,4,15,19,2,4,2,5,0
02/10/21,14:00,Salernitana,Genoa,1,0,H,0,0,D,10,19,4,4,15,17,10,8,2,2,0
02/10/21,17:00,Torino,Juventus,0,1,A,0,0,D,12,10,2,3,20,14,4,6,3,1,0
02/10/21,19:45,Sassuolo,Inter,1,2,A,1,0,H,12,18,8,3,10,19,6,8,4,2,0
03/10/21,11:30,Bologna,Lazio,3,0,H,2,0,H,10,8,3,4,5,16,3,3,2,5,0
03/10/21,14:00,Sampdoria,Udinese,3,3,D,1,2,A,13,18,3,7,12,15,6,8,4,5,0
03/10/21,14:00,Verona,Spezia,4,0,H,3,0,H,6,12,4,4,15,11,1,5,1,1,0
03/10/21,17:00,Fiorentina,Napoli,1,2,A,1,1,D,10,12,3,6,16,13,8,2,3,3,0
03/10/21,17:00,Roma,Empoli,2,0,H,1,0,H,18,11,7,3,11,16,5,5,2,3,0
03/10/21,19:45,Atalanta,Milan,2,3,A,0,2,A,17,13,6,7,13,14,9,5,1,4,0
16/10/21,14:00,Spezia,Salernitana,2,1,H,0,1,A,18,15,5,4,13,15,10,2,2,3,0
16/10/21,17:00,Lazio,Inter,3,1,H,0,1,A,19,12,8,4,12,12,7,3,3,6,1
16/10/21,19:45,Milan,Verona,3,2,H,0,2,A,17,10,4,5,11,20,5,4,1,4,0
17/10/21,11:30,Cagliari,Sampdoria,3,1,H,1,0,H,12,17,5,3,14,18,5,9,4,2,0
17/10/21,14:00,Empoli,Atalanta,1,4,A,1,2,A,13,22,6,7,10,15,5,4,3,2,0
17/10/21,14:00,Genoa,Sassuolo,2,2,D,1,2,A,19,15,4,5,11,18,6,1,2,4,0
17/10/21,14:00,Udinese,Bologna,1,1,D,0,0,D,10,23,2,11,15,11,2,8,3,7,1
17/10/21,17:00,Napoli,Torino,1,0,H,0,0,D,10,11,3,3,6,20,3,4,2,4,0
17/10/21,19:45,Juventus,Roma,1,0,H,1,0,H,6,14,2,4,18,13,0,6,3,5,0
18/10/21,19:45,Venezia,Fiorentina,1,0,H,1,0,H,4,10,2,2,17,11,2,5,2,5,0
